summoner,match_id,champion,win,kills,deaths,assists,cs,duration,timestamp
C9 Loki#kr3,NA1_5274777412,Tristana,False,12,5,1,204,1613,1745639379912
C9 Loki#kr3,NA1_5274703225,Aurora,False,2,5,4,157,1232,1745633907056
C9 Loki#kr3,NA1_5273518673,Azir,False,3,7,8,337,2239,1745467553585
C9 Loki#kr3,NA1_5273401047,Azir,True,2,5,5,287,1863,1745458978815
C9 Loki#kr3,NA1_5272719669,Zoe,False,8,3,4,274,2049,1745368417749
C9 Loki#kr3,NA1_5272692880,Viktor,False,3,5,2,200,1342,1745365632468
C9 Loki#kr3,NA1_5272668190,Ezreal,False,2,3,1,243,1630,1745363377971
C9 Loki#kr3,NA1_5272590685,Corki,True,9,4,9,273,1570,1745355278278
C9 Loki#kr3,NA1_5272066072,Ahri,False,6,11,13,258,2261,1745281618044
C9 Loki#kr3,NA1_5271606671,Vex,False,6,8,11,198,1855,1745211341582
C9 Loki#kr3,NA1_5271578042,Ahri,False,4,6,4,224,1666,1745208791046
C9 Loki#kr3,NA1_5270704441,Azir,True,4,3,15,198,1517,1745113572466
C9 Loki#kr3,NA1_5270676713,Ezreal,True,16,3,2,220,1508,1745111426049
C9 Loki#kr3,NA1_5270647569,Yone,False,5,4,5,289,1942,1745108975701
C9 Loki#kr3,NA1_5270624111,Renekton,True,7,3,9,173,1339,1745106695189
C9 Loki#kr3,NA1_5268769873,Azir,True,7,2,9,276,1681,1744867982535
C9 Loki#kr3,NA1_5268711549,Corki,True,4,9,17,279,2031,1744863332415
C9 Loki#kr3,NA1_5268654809,Orianna,True,10,2,9,242,1590,1744859096198
C9 Loki#kr3,NA1_5268077440,Hwei,False,8,7,13,356,2529,1744779750368
C9 Loki#kr3,NA1_5266048243,Azir,True,11,2,10,246,1619,1744525061575
C9 Loki#kr3,NA1_5265839260,Yone,True,4,4,6,268,1722,1744509239008
C9 Loki#kr3,NA1_5265748138,Aurora,True,16,6,10,246,1900,1744501813758
C9 Loki#kr3,NA1_5263212460,Azir,False,1,6,9,181,1612,1744175566653
DARKWINGS#NA3,NA1_5274430374,Hwei,True,6,2,10,284,2012,1745605781302
DARKWINGS#NA3,NA1_5273163048,Ryze,True,7,5,8,254,1594,1745433336456
DARKWINGS#NA3,NA1_5273129871,Jayce,True,5,4,5,257,1666,1745427967088
DARKWINGS#NA3,NA1_5268984097,Viktor,False,5,5,5,283,1964,1744911265683
DARKWINGS#NA3,NA1_5268970816,Azir,True,5,2,2,240,1380,1744908823461
DARKWINGS#NA3,NA1_5266530338,Ryze,True,3,5,10,253,1597,1744590708423
DARKWINGS#NA3,NA1_5263745965,Jayce,False,5,8,4,176,1394,1744250753659
DARKWINGS#NA3,NA1_5260158888,Lissandra,False,12,8,16,280,2466,1743832247640
DARKWINGS#NA3,NA1_5260099678,Viktor,True,11,6,9,239,1845,1743828175036
DARKWINGS#NA3,NA1_5257426825,Aurora,False,4,7,7,212,1714,1743487204459
DARKWINGS#NA3,NA1_5257016067,Aurora,True,6,0,3,216,1266,1743437205482
DARKWINGS#NA3,NA1_5256760626,Orianna,False,2,6,8,237,1713,1743387598634
DARKWINGS#NA3,NA1_5256652981,Taliyah,False,9,8,6,332,2161,1743377796727
DARKWINGS#NA3,NA1_5256589604,Azir,True,2,7,10,194,1655,1743371628484
DARKWINGS#NA3,NA1_5256567419,Viktor,False,3,8,2,200,1669,1743369054952
DARKWINGS#NA3,NA1_5256537436,Syndra,True,8,4,7,318,1995,1743365734675
DARKWINGS#NA3,NA1_5256287493,Corki,True,6,4,6,188,1283,1743314433702
DARKWINGS#NA3,NA1_5254098236,Viktor,True,15,3,4,253,1818,1742968438853
DARKWINGS#NA3,NA1_5254066042,Jayce,False,7,8,16,326,2353,1742964688494
DARKWINGS#NA3,NA1_5246374873,Tristana,False,3,4,0,282,1857,1741829646684
DARKWINGS#NA3,NA1_5246326021,Viktor,True,9,2,4,230,1657,1741825455005
DARKWINGS#NA3,NA1_5246302708,Syndra,False,2,4,8,189,1380,1741823374980
DARKWINGS#NA3,NA1_5246283934,Syndra,True,9,5,7,243,1760,1741820771710
DARKWINGS#NA3,NA1_5246061873,Syndra,True,3,0,2,210,1202,1741764069808
DARKWINGS#NA3,NA1_5246023450,Taliyah,False,6,5,5,275,1736,1741758662310
DARKWINGS#NA3,NA1_5245716217,Hwei,True,6,2,6,187,1242,1741729907514
DARKWINGS#NA3,NA1_5245389736,Akali,True,7,4,8,144,1340,1741665800429
Ariendel#NA1,NA1_5273217850,Sylas,True,10,0,9,216,1576,1745440801838
Ariendel#NA1,NA1_5273196492,Corki,True,10,1,2,279,1852,1745438425557
Ariendel#NA1,NA1_5273163048,Azir,False,6,4,5,248,1594,1745433336456
Ariendel#NA1,NA1_5269094995,Viktor,False,1,9,7,220,1895,1744925695515
Ariendel#NA1,NA1_5269046066,Orianna,True,5,3,8,219,1593,1744919784919
Ariendel#NA1,NA1_5269027865,Orianna,False,7,8,8,219,1700,1744917223960
Ariendel#NA1,NA1_5268533490,Jayce,True,9,6,9,215,1815,1744850846518
Ariendel#NA1,NA1_5268485303,Taliyah,True,6,6,19,194,1699,1744847053153
Ariendel#NA1,NA1_5267857321,Yone,True,8,6,4,194,1719,1744763047894
Ariendel#NA1,NA1_5267827582,Orianna,True,7,3,13,229,1796,1744760568806
Ariendel#NA1,NA1_5267808013,Taliyah,True,6,4,10,209,1528,1744758622317
Ariendel#NA1,NA1_5267784803,Corki,True,6,7,9,210,1620,1744756201061
Ariendel#NA1,NA1_5267762979,Tristana,True,2,4,4,236,1550,1744754024005
Ariendel#NA1,NA1_5267710041,AurelionSol,True,1,1,7,213,1477,1744747789755
Ariendel#NA1,NA1_5267692254,AurelionSol,False,7,2,7,189,1811,1744745590584
Ariendel#NA1,NA1_5264911933,Orianna,True,7,2,12,184,1395,1744405712036
Ariendel#NA1,NA1_5264891785,Leblanc,True,12,5,6,187,1824,1744403392960
Ariendel#NA1,NA1_5264861482,AurelionSol,True,16,6,19,255,2285,1744400291049
Ariendel#NA1,NA1_5264291010,Galio,False,4,4,9,208,1759,1744326534250
Ariendel#NA1,NA1_5264257399,Orianna,False,8,6,6,267,2205,1744323313227
Ariendel#NA1,NA1_5264238488,Azir,False,4,7,4,239,1658,1744321249271
Ariendel#NA1,NA1_5263547229,Orianna,True,4,1,9,235,1600,1744233552559
Ariendel#NA1,NA1_5263528338,Orianna,True,3,1,14,194,1332,1744231741526
Ariendel#NA1,NA1_5262782687,Azir,True,7,6,12,221,1893,1744140628184
Ariendel#NA1,NA1_5262307550,AurelionSol,False,5,6,6,244,1974,1744075185901
Ariendel#NA1,NA1_5260763546,Corki,True,2,3,9,197,1382,1743903869074
Ariendel#NA1,NA1_5260694308,Galio,False,0,4,10,149,1314,1743898663317
Ariendel#NA1,NA1_5260660822,Corki,False,4,4,6,264,1815,1743895870649
Ariendel#NA1,NA1_5260628214,Corki,True,2,4,13,213,1537,1743893182643
Ariendel#NA1,NA1_5259776707,Galio,True,4,6,11,179,1950,1743803939254
Ariendel#NA1,NA1_5258920637,Galio,False,7,2,11,284,2411,1743707903678
Ariendel#NA1,NA1_5258906540,Orianna,True,3,4,4,178,1314,1743706220671
Ariendel#NA1,NA1_5258381642,Aurora,True,5,6,11,240,2032,1743641989418
Ariendel#NA1,NA1_5258283440,Viktor,True,6,2,10,263,1868,1743634859476
Ariendel#NA1,NA1_5258123386,AurelionSol,False,5,4,6,230,1678,1743619299112
Ariendel#NA1,NA1_5257703564,Corki,False,1,6,8,255,1893,1743551523001
Ariendel#NA1,NA1_5257688349,AurelionSol,False,8,6,2,187,1502,1743549661459
Ariendel#NA1,NA1_5257665981,Cassiopeia,True,1,8,11,220,1969,1743546737614
Ariendel#NA1,NA1_5257645780,Azir,False,10,6,16,275,2267,1743543665506
Sword#MISHL,NA1_5275982553,Viktor,False,3,6,6,201,1792,1745794749278
Sword#MISHL,NA1_5272943641,Taliyah,True,7,5,17,183,1496,1745386120356
Sword#MISHL,NA1_5272294420,Sylas,True,8,3,7,218,1717,1745298882441
Sword#MISHL,NA1_5269879642,Akali,False,5,6,7,197,2010,1745019173252
Sword#MISHL,NA1_5269859747,Ryze,True,4,2,12,177,1237,1745016902812
Sword#MISHL,NA1_5269371561,Zoe,False,3,4,5,179,1324,1744948522998
Sword#MISHL,NA1_5267977084,Zoe,True,10,5,8,209,1893,1744771822438
Sword#MISHL,NA1_5267093983,Leblanc,False,7,5,4,223,1947,1744667014275
Sword#MISHL,NA1_5266614359,Sylas,True,10,6,14,218,2197,1744596603895
Sword#MISHL,NA1_5264145403,Leblanc,True,15,3,5,155,1375,1744309846152
Sword#MISHL,NA1_5255146798,Syndra,True,7,1,7,237,1623,1743141956089
Sword#MISHL,NA1_5253669501,Syndra,True,4,5,18,206,1794,1742916507819
Sword#MISHL,NA1_5253493261,Hwei,False,0,7,11,197,1746,1742876012788
Sword#MISHL,NA1_5253405907,Cassiopeia,False,4,9,8,185,1641,1742868483534
Sword#MISHL,NA1_5253380577,Sylas,True,4,2,7,145,1253,1742866712046
Sword#MISHL,NA1_5253356095,Orianna,False,9,4,8,201,1685,1742864343431
Sword#MISHL,NA1_5253299429,Ryze,True,3,7,17,274,2121,1742859222152
Sword#MISHL,NA1_5253277923,Leblanc,False,3,5,6,189,1612,1742856601638
Sword#MISHL,NA1_5252894601,Orianna,True,2,3,12,217,1887,1742786330169
Sword#MISHL,NA1_5252865730,Orianna,True,11,2,6,244,1569,1742784198167
Sword#MISHL,NA1_5252833013,Renekton,False,5,4,4,233,1931,1742781176211
Sword#MISHL,NA1_5252388385,Taliyah,False,4,7,8,275,2023,1742713617238
Sword#MISHL,NA1_5252360433,Ahri,True,8,1,11,186,1286,1742710288761
Sword#MISHL,NA1_5252320266,Zed,False,3,6,4,173,1624,1742706330729
Sword#MISHL,NA1_5252220506,Ryze,True,9,3,8,207,1530,1742698051933
Sword#MISHL,NA1_5252187771,Leblanc,True,8,2,8,218,1680,1742695185982
Sword#MISHL,NA1_5252148887,Ahri,False,3,4,7,220,1896,1742691786122
Sword#MISHL,NA1_5251587177,Orianna,False,5,7,16,252,2138,1742610392681
Sword#MISHL,NA1_5250514465,Sylas,True,3,2,9,257,1814,1742440156735
LikeAMaws#NA1,NA1_5276615957,Varus,False,7,10,14,267,2182,1745880381580
LikeAMaws#NA1,NA1_5276589745,Vayne,True,12,8,3,278,2008,1745877441802
LikeAMaws#NA1,NA1_5275875289,Taliyah,False,1,8,10,248,1956,1745784369367
LikeAMaws#NA1,NA1_5273923410,Viktor,True,2,5,5,242,1656,1745535670967
LikeAMaws#NA1,NA1_5273905615,Aurora,False,7,5,6,226,1714,1745533647658
LikeAMaws#NA1,NA1_5272556109,Taliyah,False,3,8,7,242,1740,1745351091123
LikeAMaws#NA1,NA1_5271868009,Viktor,True,12,3,9,297,1767,1745260761917
LikeAMaws#NA1,NA1_5271834624,Hwei,False,3,3,2,299,1737,1745256340461
LikeAMaws#NA1,NA1_5267244886,Hwei,False,12,8,12,397,2589,1744680290486
LikeAMaws#NA1,NA1_5267204493,Taliyah,False,6,6,5,266,1712,1744677475913
LikeAMaws#NA1,NA1_5267089150,Viktor,True,4,5,9,345,2196,1744666534843
LikeAMaws#NA1,NA1_5264876188,Garen,True,5,2,2,253,1529,1744401895179
LikeAMaws#NA1,NA1_5262755424,Tristana,False,2,3,0,221,1646,1744136989942
LikeAMaws#NA1,NA1_5262738887,Chogath,True,5,5,5,272,1970,1744134228370
LikeAMaws#NA1,NA1_5262713638,Taliyah,False,6,13,9,286,2338,1744130977229
LikeAMaws#NA1,NA1_5262119135,Smolder,False,8,6,4,369,2248,1744058105034
LikeAMaws#NA1,NA1_5262100737,Chogath,True,14,2,7,289,1823,1744055687338
LikeAMaws#NA1,NA1_5262050723,Viktor,True,7,3,11,235,1573,1744049874451
LikeAMaws#NA1,NA1_5254210476,Taliyah,False,7,7,8,236,2063,1743006001874
LikeAMaws#NA1,NA1_5253696950,Viktor,False,3,9,9,255,1744,1742922297712
LikeAMaws#NA1,NA1_5253204535,Chogath,True,11,6,14,285,2304,1742847603208
LikeAMaws#NA1,NA1_5253188190,Tristana,False,3,4,4,197,1464,1742844847434
LikeAMaws#NA1,NA1_5253171835,Viktor,True,10,9,9,342,2411,1742841910926
LikeAMaws#NA1,NA1_5253142169,Taliyah,True,6,4,4,223,1391,1742836612354
LikeAMaws#NA1,NA1_5248561871,Tristana,True,9,1,3,259,1708,1742152090640
LikeAMaws#NA1,NA1_5248500297,Taliyah,False,3,8,10,326,2069,1742144131678
LikeAMaws#NA1,NA1_5248487826,Viktor,False,5,5,3,249,1766,1742141589499
LikeAMaws#NA1,NA1_5247906357,Viktor,True,5,2,14,290,1825,1742063651950
LikeAMaws#NA1,NA1_5247887517,Viktor,True,6,7,4,283,2039,1742060876440
Kzykendy#NA1,NA1_5277398123,Syndra,True,9,5,9,184,1422,1745980051036
Kzykendy#NA1,NA1_5276854250,Ekko,True,9,6,11,194,1825,1745899683339
Kzykendy#NA1,NA1_5276832991,Syndra,True,4,6,8,147,1457,1745897877712
Kzykendy#NA1,NA1_5276355391,Azir,True,9,4,13,293,2019,1745829290640
Kzykendy#NA1,NA1_5272993798,Azir,True,9,0,5,207,1413,1745391895816
Kzykendy#NA1,NA1_5272968728,Azir,True,12,7,9,277,2232,1745388927444
Kzykendy#NA1,NA1_5272841203,Sivir,True,6,7,12,161,1503,1745377485531
Kzykendy#NA1,NA1_5258551233,Azir,True,12,5,8,198,1587,1743652331399
Kzykendy#NA1,NA1_5258514070,Azir,True,0,7,9,219,1676,1743650039457
Kzykendy#NA1,NA1_5257444807,Azir,False,3,11,10,168,1670,1743489999176
Kzykendy#NA1,NA1_5254332779,Ahri,False,3,8,6,158,1506,1743026380771
Kzykendy#NA1,NA1_5254271901,Ahri,True,5,4,10,274,2022,1743017462724
Evrot#JO146,NA1_5277125232,Zoe,True,4,3,17,176,1604,1745951734956
Evrot#JO146,NA1_5277109483,Jayce,True,9,4,7,207,1534,1745949600578
Evrot#JO146,NA1_5277067810,Syndra,False,9,7,13,297,2462,1745941112607
Evrot#JO146,NA1_5276639480,Tristana,False,2,7,15,254,2092,1745882830608
Evrot#JO146,NA1_5275708431,Jayce,False,4,5,3,208,1444,1745759647167
Evrot#JO146,NA1_5275693968,Ryze,True,5,4,9,256,1666,1745754230143
Evrot#JO146,NA1_5274438104,Jayce,True,9,2,3,266,1624,1745606666181
Evrot#JO146,NA1_5274420572,Syndra,True,11,6,9,204,1723,1745604491222
Evrot#JO146,NA1_5274387550,Ahri,True,8,3,17,249,1947,1745599222253
Evrot#JO146,NA1_5274372109,Leblanc,False,5,4,9,262,1790,1745596096877
Evrot#JO146,NA1_5273872811,Jayce,False,1,9,7,155,1412,1745529547433
Evrot#JO146,NA1_5273855157,Ahri,False,7,5,11,192,1588,1745527326587
Evrot#JO146,NA1_5273187790,Syndra,True,10,5,12,241,1839,1745436692511
Evrot#JO146,NA1_5273169097,Ahri,False,7,5,9,213,1770,1745434128924
Evrot#JO146,NA1_5273145664,Ahri,True,5,6,17,228,1884,1745431208889
Evrot#JO146,NA1_5273097345,Ahri,True,4,1,13,211,1606,1745421785338
Evrot#JO146,NA1_5272602368,Jayce,False,1,6,3,184,1442,1745356385745
Evrot#JO146,NA1_5272556590,Jayce,False,4,6,3,225,1630,1745351327274
Evrot#JO146,NA1_5272503646,Zoe,False,4,9,4,205,1822,1745343590523
Evrot#JO146,NA1_5270430141,Jayce,True,7,7,14,287,2204,1745086756335
Evrot#JO146,NA1_5270410425,Ahri,True,6,4,12,199,1496,1745084491343
Evrot#JO146,NA1_5270306907,Ahri,True,10,6,13,293,2371,1745065307748
Evrot#JO146,NA1_5269748271,Nautilus,False,5,9,7,37,1687,1745005617589
Evrot#JO146,NA1_5269730790,Zoe,False,7,5,5,188,1460,1745003474476
Evrot#JO146,NA1_5268350261,Jayce,False,6,4,10,226,1747,1744833218735
Evrot#JO146,NA1_5268329001,Pantheon,True,17,6,17,194,2109,1744830480530
Evrot#JO146,NA1_5268308516,Jayce,False,10,7,9,213,1746,1744828056247
Evrot#JO146,NA1_5267790921,Jayce,True,12,5,13,217,1655,1744756781266
Evrot#JO146,NA1_5267764531,Ahri,False,4,5,4,187,1603,1744754442777
Evrot#JO146,NA1_5267731173,Ahri,False,3,7,9,249,2152,1744750459919
Evrot#JO146,NA1_5267064265,Leblanc,True,11,4,10,180,1623,1744663861068
Evrot#JO146,NA1_5267034562,Jayce,False,12,10,8,234,2390,1744660449407
struggler#heed,NA1_5277244054,Lissandra,False,2,7,3,162,1274,1745967136925
struggler#heed,NA1_5276551994,Lissandra,True,6,2,8,153,1300,1745873137844
struggler#heed,NA1_5274703225,Lissandra,True,6,2,8,166,1232,1745633907056
struggler#heed,NA1_5274251892,Lissandra,False,3,5,3,169,1383,1745564289581
struggler#heed,NA1_5274149974,Aurora,True,5,3,11,130,1460,1745554095451
struggler#heed,NA1_5273624875,Taliyah,True,9,6,14,202,1604,1745477619332
struggler#heed,NA1_5273275951,Taliyah,False,1,6,5,196,1530,1745447890064
struggler#heed,NA1_5271948447,Lissandra,True,6,5,7,167,1366,1745270492718
struggler#heed,NA1_5271882639,Lissandra,True,7,3,10,277,1780,1745262931691
struggler#heed,NA1_5271681201,Mel,False,13,9,3,202,1702,1745219082757
struggler#heed,NA1_5271649363,Ryze,True,6,5,12,233,1982,1745215252396
struggler#heed,NA1_5271621469,Vex,False,6,11,10,233,2215,1745212581773
struggler#heed,NA1_5271484892,Kennen,True,6,6,9,177,1714,1745202229479
struggler#heed,NA1_5269897420,Lissandra,False,4,10,14,221,2097,1745020714349
struggler#heed,NA1_5269870358,Yone,False,5,6,1,232,1870,1745018209284
struggler#heed,NA1_5269016610,Lissandra,True,7,7,9,234,1970,1744916152228
struggler#heed,NA1_5268977966,Lissandra,False,4,8,8,202,1762,1744910137081
struggler#heed,NA1_5268687880,Aurora,False,6,6,11,227,2069,1744861362575
struggler#heed,NA1_5267721439,Leblanc,False,6,5,9,210,1984,1744749346752
struggler#heed,NA1_5267702199,Hwei,False,3,7,1,196,1716,1744746872219
struggler#heed,NA1_5263269359,Annie,True,5,5,13,113,1454,1744181699505
struggler#heed,NA1_5263249515,Lissandra,True,4,1,6,196,1375,1744179367155
struggler#heed,NA1_5263203319,Taliyah,True,6,6,17,229,1828,1744174807958
struggler#heed,NA1_5263175700,Syndra,False,4,10,9,193,1619,1744172614526
struggler#heed,NA1_5263143587,Orianna,True,6,1,12,230,1773,1744170236841
struggler#heed,NA1_5263118167,Syndra,True,5,1,8,178,1286,1744168363920
struggler#heed,NA1_5262847889,Taliyah,True,6,3,10,236,1706,1744147836926
struggler#heed,NA1_5262755424,Yone,True,4,2,5,209,1646,1744136989942
struggler#heed,NA1_5262569159,Syndra,True,7,5,8,190,1592,1744097046749
Quantum#uwu,NA1_5277366935,Ekko,False,8,6,2,226,1731,1745977690108
Quantum#uwu,NA1_5277307120,Chogath,False,1,5,3,162,1253,1745973022642
Quantum#uwu,NA1_5277273995,Veigar,True,6,4,9,214,1649,1745970134517
Quantum#uwu,NA1_5277246952,Diana,False,5,10,4,182,1809,1745967340155
Quantum#uwu,NA1_5277224141,Quinn,False,12,7,4,224,1967,1745964911801
Quantum#uwu,NA1_5277207850,Vex,False,3,6,9,185,1446,1745963012393
Quantum#uwu,NA1_5276807345,Diana,False,5,5,2,141,1339,1745896036967
Quantum#uwu,NA1_5276775516,Ekko,True,3,7,11,226,1772,1745893723221
Quantum#uwu,NA1_5276746298,Quinn,False,5,7,8,166,1646,1745891481116
Quantum#uwu,NA1_5276713780,Vex,True,8,8,12,215,1854,1745888985239
Quantum#uwu,NA1_5276675398,Fizz,True,15,2,4,259,2193,1745886126733
Quantum#uwu,NA1_5276643716,Neeko,False,6,9,9,157,1946,1745883435359
Quantum#uwu,NA1_5276598914,Veigar,True,11,3,15,282,1877,1745878525702
Quantum#uwu,NA1_5276035023,Vex,False,5,6,2,234,1796,1745799129739
Quantum#uwu,NA1_5276000917,Quinn,True,10,7,11,186,1682,1745796091893
Quantum#uwu,NA1_5275967716,Qiyana,True,12,11,9,281,2315,1745793352418
Quantum#uwu,NA1_5275948042,Diana,False,2,4,6,190,1414,1745791208844
Quantum#uwu,NA1_5275924622,Vex,False,5,3,4,180,1397,1745789440914
Quantum#uwu,NA1_5275377273,Vex,False,3,9,13,244,2131,1745717985302
Quantum#uwu,NA1_5275313777,Aurora,False,17,8,13,239,2349,1745712209108
Quantum#uwu,NA1_5275288768,Diana,False,5,10,4,213,1795,1745709635829
Quantum#uwu,NA1_5275262138,Diana,True,9,7,6,229,1750,1745707305348
Quantum#uwu,NA1_5275234486,Quinn,False,6,7,9,201,2300,1745704429727
Quantum#uwu,NA1_5274648072,AurelionSol,False,0,5,3,212,1631,1745629507997
Quantum#uwu,NA1_5274622169,Diana,True,4,4,3,199,1510,1745627270801
Quantum#uwu,NA1_5274573847,Fizz,True,20,8,7,273,2195,1745622286603
Quantum#uwu,NA1_5274096451,Quinn,True,7,4,9,165,1603,1745550028197
Quantum#uwu,NA1_5274051774,Diana,False,4,11,4,160,1643,1745546579677
Quantum#uwu,NA1_5273997375,Vex,False,4,11,4,186,1573,1745542467194
Quantum#uwu,NA1_5273971006,AurelionSol,True,9,5,14,184,1785,1745540091346
Quantum#uwu,NA1_5273950835,Diana,False,3,6,5,168,1448,1745538137419
Quantum#uwu,NA1_5273893258,Vex,True,12,3,12,244,1648,1745532275598
Quantum#uwu,NA1_5273383321,Diana,False,3,6,5,154,1412,1745457592428
Quantum#uwu,NA1_5273330174,Diana,False,3,7,1,182,1399,1745452983548
